899 7089
70 177 2
70 246 1
70 254 5
71 14 1
71 81 2
71 130 2
71 206 2
71 362 1
71 366 1
71 435 2
71 447 2
71 448 1
71 449 1
72 3 6
72 9 4
72 11 34
72 13 1
72 15 17
72 28 14
72 34 13
72 81 6
72 90 13
72 96 1
72 100 12
72 109 2
72 113 2
72 139 3
72 151 41
72 163 7
72 194 1
72 198 1
72 220 2
72 226 6
72 316 2
72 332 5
72 337 5
72 344 9
72 426 8
73 3 1
73 18 2
73 36 3
73 42 5
73 48 4
73 50 3
73 54 2
73 56 4
73 57 2
73 69 2
73 90 1
73 100 1
73 113 1
73 114 1
73 123 2
73 173 2
73 180 1
73 198 1
73 207 1
73 231 5
73 233 1
73 236 2
73 239 1
74 1 1
74 8 3
74 10 16
74 11 7
74 12 4
74 45 2
74 58 6
74 59 1
74 93 6
74 99 1
74 118 1
74 201 3
74 204 12
74 206 1
74 240 2
74 280 1
75 11 1
75 24 4
75 50 1
75 134 2
76 42 1
76 56 1
77 12 2
77 41 3
77 51 4
77 58 7
77 155 1
77 184 2
77 195 3
77 206 1
77 282 3
77 307 1
77 351 1
77 418 2
77 464 1
77 487 1
78 17 1
78 28 3
78 154 1
79 63 1
79 543 2
80 452 1
81 4 8
81 6 2
81 9 1
81 11 1
81 15 3
81 46 1
81 58 4
81 59 1
81 98 1
81 324 2
82 4 4
82 6 1
82 18 8
82 21 6
82 48 7
82 49 2
82 71 3
82 125 2
82 185 1
83 6 2
83 11 1
83 17 2
83 71 1
83 127 11
83 198 3
84 21 1
84 74 1
84 193 1
85 453 2
85 481 1
86 6 1
86 91 2
86 92 17
86 184 5
86 236 1
86 324 7
86 328 2
86 351 5
86 357 24
86 491 7
87 69 1
87 268 1
88 296 1
89 15 1
89 17 2
89 30 3
89 48 1
89 50 1
89 57 2
89 68 4
89 69 8
89 121 2
89 127 3
89 168 1
89 171 10
89 184 2
89 192 1
89 200 1
89 218 7
89 290 10
89 300 9
89 311 1
89 325 2
89 385 4
89 422 6
89 464 2
89 482 5
89 508 2
90 1 1
90 10 2
90 12 3
90 121 2
90 488 1
91 0 1
91 99 1
91 251 1
92 3 5
92 11 1
92 13 1
92 34 1
92 42 1
92 72 4
92 100 1
92 243 1
92 304 1
92 312 5
92 376 1
92 487 1
92 533 3
93 7 1
93 80 1
93 202 1
93 236 1
93 252 1
93 351 1
93 387 2
94 3 1
94 9 2
94 18 7
94 30 1
94 36 7
94 46 1
94 340 2
94 481 1
94 492 3
95 100 3
96 17 1
96 58 1
96 68 1
96 74 1
96 81 1
96 133 7
96 217 1
96 250 7
96 385 1
97 9 1
97 58 1
97 74 2
97 115 1
97 244 1
97 359 1
98 16 17
98 19 1
98 47 1
98 50 2
98 63 1
98 108 7
98 116 23
98 165 4
98 171 1
98 177 1
98 184 3
98 236 4
98 280 2
98 310 1
98 322 1
98 346 1
98 414 1
98 437 3
98 498 1
98 527 1
99 1 1
99 7 27
99 8 1
99 11 11
99 12 40
99 17 21
99 18 29
99 19 5
99 27 1
99 29 1
99 31 24
99 32 3
99 34 37
99 35 1
99 37 1
99 46 26
99 48 9
99 52 1
99 58 1
99 59 32
99 61 7
99 68 12
99 73 2
99 74 1
99 81 166
99 86 15
99 90 36
99 92 23
99 101 1
99 102 46
99 106 35
99 108 1
99 110 4
99 114 3
99 116 122
99 127 1
99 130 45
99 136 18
99 140 21
99 162 11
99 168 44
99 179 6
99 184 73
99 185 10
99 195 8
99 205 14
99 207 50
99 221 8
99 232 7
99 236 24
99 248 2
99 252 37
99 256 36
99 272 25
99 280 10
99 288 82
99 290 9
99 300 4
99 307 33
99 308 1
99 312 6
99 318 18
99 332 23
99 334 3
99 346 23
99 349 4
99 356 8
99 357 10
99 366 36
99 372 16
99 376 63
99 385 22
99 390 16
99 392 2
99 395 7
99 398 19
99 402 7
99 404 2
99 410 33
99 418 7
99 429 13
99 434 48
99 450 11
99 464 32
99 474 10
99 475 9
99 487 8
99 490 11
100 10 1
101 58 74
101 73 17
101 81 35
101 90 15
101 92 46
101 203 7
101 259 11
101 282 2
101 324 6
101 357 24
101 365 6
101 487 5
101 491 2
101 542 3
102 21 3
102 38 16
102 81 22
102 84 5
102 101 15
102 154 4
102 177 10
102 185 6
102 194 3
102 221 1
102 244 6
102 250 3
102 335 2
103 48 1
103 66 16
103 250 2
103 295 14
104 11 25
104 16 38
104 19 5
104 38 10
104 100 6
104 101 15
104 124 2
104 151 25
104 153 3
104 162 12
104 194 20
104 288 10
104 339 11
104 361 15
105 11 11
105 51 1
105 100 2
105 117 1
106 21 2
107 127 1
107 198 1
108 12 4
108 15 1
108 16 1
108 18 1
108 19 9
108 47 38
108 48 3
108 53 28
108 58 18
108 75 5
108 116 1
108 198 1
108 207 2
108 218 6
108 244 3
108 315 2
108 442 3
108 531 3
109 17 1
109 31 2
109 59 3
109 73 3
109 185 3
109 205 1
109 324 3
110 288 1
111 12 29
111 21 6
111 35 5
111 40 9
111 54 7
111 71 11
111 244 2
112 11 1
113 19 1
113 524 2
114 140 1
115 33 3
116 30 2
116 50 2
116 116 7
116 122 6
116 123 1
116 125 2
116 168 2
116 192 1
116 220 1
117 16 2
117 18 2
117 21 1
117 35 1
117 50 1
117 125 2
117 129 1
117 184 2
117 192 2
117 240 3
117 267 1
117 276 1
117 302 3
118 42 1
118 81 9
118 429 1
119 74 1
119 193 1
119 217 3
119 283 1
120 31 1
121 3 1
121 11 2
121 15 7
121 16 10
121 30 1
121 54 2
121 173 1
121 181 2
121 214 3
121 340 2
122 11 2
122 15 5
122 21 1
122 23 1
122 69 1
122 100 5
122 122 4
122 151 3
122 220 4
122 238 2
122 278 5
122 294 1
122 324 1
122 469 1
123 6 8
123 9 3
123 11 1
123 12 4
123 13 2
123 24 1
123 29 12
123 30 7
123 31 1
123 32 1
123 50 1
123 54 6
123 57 10
123 71 1
123 74 10
123 114 3
123 120 4
123 193 1
123 207 1
123 247 2
123 272 10
123 273 6
123 307 2
123 384 1
123 464 1
123 528 1
124 11 6
124 16 1
124 53 9
124 68 1
124 70 9
124 74 4
124 106 1
124 116 6
124 127 1
124 138 1
124 193 1
124 207 1
124 208 2
124 236 2
124 252 1
124 253 3
124 262 1
124 271 10
124 272 5
124 287 3
124 290 1
124 292 1
124 309 1
124 322 1
124 332 1
124 346 1
124 351 1
124 358 1
124 434 3
124 461 1
124 464 3
125 133 4
125 184 2
125 235 2
125 450 1
125 496 1
126 3 1
126 4 4
126 98 1
127 32 1
127 75 1
127 121 5
127 122 1
127 124 3
127 132 1
127 163 1
127 191 1
127 205 2
127 274 1
127 400 1
127 406 1
128 20 8
128 48 11
128 120 3
128 124 3
128 132 10
128 159 1
128 207 5
128 225 2
128 235 2
128 238 6
128 272 10
128 418 3
128 464 28
128 481 5
128 483 3
129 12 1
129 512 2
130 72 2
130 293 1
131 43 3
131 81 2
131 200 13
131 360 8
131 363 27
131 407 10
131 481 1
132 18 29
132 50 1
132 92 15
132 114 2
132 117 1
132 125 5
132 166 6
132 377 6
132 459 3
133 19 1
133 27 9
133 58 2
133 81 1
133 86 3
133 105 1
133 109 2
133 112 2
133 117 1
133 170 1
133 293 2
133 414 1
134 9 11
134 12 2
134 14 1
134 21 3
134 24 4
134 58 2
134 114 1
134 130 2
134 160 3
134 192 3
134 201 1
134 225 2
134 238 4
134 280 2
135 51 1
136 38 22
136 46 3
136 72 2
136 101 18
136 172 20
136 243 33
136 335 5
136 354 3
137 1 16
137 5 3
137 6 22
137 230 5
137 251 2
137 421 3
137 481 1
137 487 4
138 217 1
138 462 1
138 473 6
139 3 12
139 9 1
139 90 2
139 190 3
139 546 1
140 21 2
140 35 3
140 71 5
140 153 2
140 525 1
141 3 14
141 9 6
141 11 7
141 36 13
141 58 11
141 325 3
141 362 2
142 153 1
142 525 2
143 433 4
144 11 6
144 15 12
144 31 9
144 36 2
144 50 15
144 81 1
144 87 10
144 122 6
144 192 2
144 271 4
144 280 10
144 294 3
144 311 1
144 378 4
144 387 4
144 403 1
144 464 1
145 6 2
145 11 23
145 57 1
145 68 2
145 87 3
145 96 1
145 100 1
145 169 1
145 198 1
145 250 5
145 280 2
145 403 1
145 528 2
146 21 1
147 6 5
147 22 1
147 43 3
147 47 3
147 69 3
147 173 1
147 189 1
147 240 1
147 280 1
147 293 2
147 385 1
147 421 2
147 442 1
147 450 1
147 497 1
148 35 4
148 38 27
148 74 2
148 101 8
148 193 1
148 290 4
148 321 18
148 422 2
148 488 2
148 494 11
148 501 10
149 11 1
149 12 2
149 29 7
149 31 2
149 72 4
149 273 2
149 324 2
150 12 1
151 81 1
152 265 1
153 11 1
154 54 3
155 3 1
155 21 1
155 36 1
155 180 2
155 193 1
156 18 1
156 21 1
156 23 2
156 75 10
156 117 1
156 240 1
156 492 7
157 1 7
157 5 1
157 6 4
157 74 1
157 121 2
157 186 1
157 230 4
158 9 2
158 114 1
158 236 1
158 297 11
159 453 4
160 297 1
161 3 1
161 9 1
162 12 1
162 355 1
162 384 1
163 11 1
163 12 6
163 17 5
163 19 3
163 28 2
163 33 12
163 34 19
163 38 1
163 39 3
163 41 4
163 46 4
163 49 7
163 61 6
163 68 1
163 74 8
163 81 5
163 84 1
163 85 2
163 92 1
163 109 1
163 127 9
163 129 1
163 130 3
163 132 3
163 140 1
163 149 6
163 151 2
163 152 1
163 156 5
163 163 3
163 165 3
163 168 1
163 172 8
163 179 3
163 180 2
163 181 3
163 184 7
163 193 6
163 206 1
163 207 20
163 226 2
163 228 14
163 232 1
163 233 6
163 234 2
163 268 1
163 270 2
163 273 1
163 280 2
163 285 1
163 287 9
163 288 14
163 292 3
163 293 1
163 300 4
163 311 4
163 316 1
163 323 1
163 332 11
163 334 1
163 340 1
163 348 1
163 355 18
163 360 5
163 363 2
163 372 1
163 378 1
163 384 1
163 404 1
163 405 1
163 410 4
163 414 1
163 417 2
163 418 1
163 419 4
163 434 2
163 435 3
163 442 1
163 450 11
163 464 5
163 491 1
163 499 5
163 512 2
163 528 2
164 6 1
165 73 13
165 90 2
165 109 2
165 130 2
165 132 7
165 205 1
165 251 3
165 290 1
165 352 8
165 355 4
165 444 3
166 1 1
166 5 1
166 264 1
167 12 2
167 33 4
167 59 3
167 68 1
167 81 1
167 149 3
167 228 4
167 234 7
167 304 1
167 349 1
167 355 1
167 433 2
167 525 2
168 9 3
168 12 4
168 14 1
168 24 3
168 29 1
168 58 2
168 74 7
168 114 5
168 120 1
168 148 4
168 174 1
168 221 1
168 248 2
168 349 1
168 357 1
169 2 1
169 7 1
169 9 1
169 11 1
169 14 1
169 21 1
169 24 1
169 37 1
169 41 1
169 52 1
169 68 1
169 74 1
169 88 1
169 92 1
169 193 1
169 200 1
169 237 1
169 242 1
169 264 2
169 280 1
169 323 1
169 389 1
169 487 1
169 500 1
170 11 2
170 108 4
170 117 4
170 198 1
170 390 1
171 6 1
171 14 2
171 27 31
171 43 2
171 47 54
171 58 30
171 71 14
171 81 9
171 86 1
171 90 2
171 99 13
171 102 3
171 105 11
171 115 2
171 116 22
171 117 23
171 152 4
171 153 2
171 165 1
171 207 2
171 221 2
171 244 1
171 290 1
171 347 1
171 391 1
171 405 2
171 433 2
171 442 2
171 445 7
171 450 1
171 458 2
171 481 3
171 526 1
172 2 9
172 9 30
172 18 4
172 27 38
172 47 24
172 69 6
172 108 18
172 113 9
172 116 34
172 117 20
172 140 27
172 173 2
172 178 1
172 188 6
172 205 9
172 258 2
172 339 6
172 442 7
172 481 4
173 9 6
173 12 3
173 17 5
173 81 3
173 102 3
173 116 5
173 127 2
173 140 1
173 160 5
173 166 1
173 201 1
173 232 3
173 236 2
173 252 5
173 273 5
173 290 3
173 297 5
173 304 7
173 307 5
173 323 3
173 324 2
173 346 1
173 349 2
173 361 1
173 366 2
173 372 9
173 376 22
173 398 1
173 400 3
173 429 4
174 9 3
174 17 4
174 21 3
174 35 6
174 40 6
174 42 6
174 56 5
174 96 3
174 134 1
174 251 8
174 280 1
174 361 1
174 370 10
175 9 10
175 21 4
175 36 5
175 55 1
175 58 2
175 71 1
175 74 4
175 103 17
175 150 2
175 185 1
175 207 4
175 337 16
175 443 2
175 487 1
176 36 1
176 37 1
176 42 1
177 2 2
177 31 1
177 73 3
177 74 3
177 120 1
177 193 1
177 290 4
178 37 1
179 6 2
179 9 4
179 11 1
179 14 2
179 15 1
179 49 4
179 58 4
179 74 10
179 122 3
179 130 1
179 150 10
179 174 2
179 193 3
179 201 3
179 236 2
179 237 1
179 280 7
179 500 3
180 1 4
180 9 1
180 24 1
180 108 2
180 134 4
180 181 2
181 1 5
181 56 1
181 134 1
181 150 1
181 181 7
181 264 3
181 531 3
181 532 9
182 12 2
182 48 1
182 361 1
182 443 3
183 20 11
183 34 1
183 40 1
183 64 8
183 65 1
183 74 5
183 84 7
183 85 4
183 97 9
183 103 1
183 115 1
183 116 3
183 120 1
183 139 2
183 172 1
183 198 3
183 207 5
183 244 2
183 274 5
183 280 2
183 373 1
183 422 1
183 488 5
183 536 2
184 12 5
184 29 1
184 31 3
184 40 20
184 48 7
184 54 2
184 57 3
184 69 2
184 135 1
184 180 3
184 231 6
184 249 11
184 256 7
184 268 1
184 290 10
184 317 2
184 325 1
184 352 11
184 355 2
184 482 2
185 15 1
185 18 2
185 23 3
185 36 2
185 55 2
185 58 4
185 75 1
185 90 1
185 104 2
186 2 4
186 4 16
186 9 5
186 36 3
186 54 7
186 95 4
186 98 1
186 188 2
187 81 2
188 85 1
188 97 1
189 198 1
190 16 3
190 85 1
190 90 4
190 92 10
190 100 1
190 116 1
190 138 1
190 177 2
190 192 6
190 225 3
190 252 5
190 290 3
190 355 3
190 386 7
190 483 1
190 487 3
191 11 22
191 15 13
191 87 10
191 100 5
191 122 8
191 201 1
191 366 4
191 403 5
192 11 12
192 12 1
192 15 1
192 87 9
192 107 1
192 403 3
193 17 2
193 71 3
193 73 34
193 85 4
193 90 4
193 92 87
193 114 8
193 174 10
193 184 9
193 192 9
193 382 3
193 391 1
193 492 1
194 9 7
194 19 24
194 23 7
194 35 20
194 40 12
194 77 3
194 81 81
194 91 2
194 106 13
194 124 7
194 162 12
194 168 17
194 207 15
194 235 5
194 236 6
194 287 9
194 302 4
194 318 30
194 351 6
194 386 11
194 389 1
194 406 6
195 9 2
195 37 3
195 52 1
195 74 1
195 81 1
195 195 1
195 236 3
195 319 3
195 332 1
195 346 3
195 442 5
195 498 2
195 502 1
196 2 1
196 9 16
196 50 1
196 79 5
196 96 3
196 165 1
196 177 2
196 181 2
196 226 14
196 227 18
196 236 1
196 285 1
196 312 7
196 341 4
196 361 2
196 365 2
196 508 3
196 524 1
197 426 1
198 24 2
198 406 1
199 105 6
199 109 1
199 152 9
199 195 3
199 214 3
199 282 1
200 2 11
200 4 11
200 9 13
200 14 1
200 52 1
200 58 1
200 150 1
200 188 3
200 217 5
201 9 1
201 12 1
201 18 1
201 103 2
201 198 1
201 238 1
201 252 1
201 328 2
202 120 1
203 74 1
203 103 1
203 130 1
204 20 10
204 24 2
204 31 6
204 32 6
204 36 1
204 40 3
204 41 5
204 42 6
204 307 7
205 12 14
205 17 1
205 19 6
205 25 3
205 26 1
205 27 20
205 43 5
205 45 12
205 47 12
205 58 17
205 69 2
205 81 7
205 86 7
205 89 6
205 96 1
205 101 1
205 102 4
205 105 3
205 109 26
205 116 25
205 117 8
205 118 1
205 121 2
205 130 17
205 133 1
205 152 16
205 168 4
205 173 3
205 178 1
205 183 2
205 208 7
205 251 4
205 253 2
205 293 4
205 363 5
205 364 2
205 372 5
205 481 1
206 9 1
206 27 5
206 58 6
206 71 4
206 74 3
206 81 17
206 86 4
206 105 10
206 117 4
206 130 5
206 133 5
206 150 5
206 152 7
206 193 1
206 282 1
206 445 6
206 454 1
206 481 1
206 530 4
207 27 7
207 86 3
207 105 6
207 117 9
207 118 3
207 152 10
207 163 1
207 170 1
207 214 6
207 282 2
207 445 5
208 27 1
209 31 3
209 82 1
210 27 1
210 90 1
210 419 1
211 2 1
212 8 3
212 58 1
212 359 1
213 27 1
214 18 1
214 114 1
214 135 1
215 9 1
216 12 16
216 18 2
216 72 5
216 81 3
216 88 2
216 167 1
216 228 2
216 288 3
216 445 2
217 27 1
218 9 1
218 74 1
218 192 1
219 9 1
219 18 2
219 27 23
219 58 1
219 69 1
219 81 7
219 86 1
219 237 3
219 318 4
219 442 2
219 526 2
220 11 5
220 12 1
220 74 1
220 79 1
220 81 1
220 85 3
220 97 1
220 185 1
220 251 1
220 324 2
220 357 2
220 361 1
221 37 1
222 18 2
222 86 1
222 89 3
222 92 3
223 7 4
223 11 8
223 58 5
223 81 2
223 100 1
223 120 1
223 261 4
223 262 5
223 364 5
223 542 1
224 12 14
224 13 14
224 17 6
224 19 8
224 21 10
224 57 12
224 68 3
224 72 13
224 90 7
224 106 5
224 117 2
224 130 10
224 149 3
224 150 6
224 151 5
224 158 7
224 159 6
224 160 6
224 161 4
224 162 12
224 163 2
224 171 5
224 189 2
224 211 3
224 232 3
224 236 9
224 264 4
224 272 12
224 290 1
224 291 1
224 312 4
224 366 2
224 377 17
224 378 1
224 392 7
224 442 7
224 497 2
225 9 1
225 15 1
225 37 3
225 58 3
225 113 1
225 135 2
225 150 1
225 229 1
225 251 1
225 270 3
225 325 1
225 378 1
226 9 2
226 18 1
226 24 2
226 159 1
226 248 2
226 289 4
227 7 1
227 9 1
227 14 1
227 17 2
227 35 1
227 41 1
227 51 1
227 57 1
227 63 1
227 68 1
227 69 1
227 73 2
227 90 1
227 92 1
227 100 1
227 114 1
227 115 1
227 127 1
227 158 1
227 161 1
227 179 1
227 185 1
227 189 1
227 194 1
227 201 1
227 231 1
227 238 1
227 240 1
227 250 1
227 252 1
227 280 1
227 290 1
227 311 1
227 314 1
227 316 1
227 323 1
227 325 1
227 346 1
227 376 1
227 385 1
227 392 1
227 401 1
227 418 1
227 429 1
227 437 1
227 440 1
227 442 1
227 463 1
227 464 1
227 487 1
227 500 1
227 512 1
228 17 5
228 61 5
228 153 2
228 200 3
228 434 1
228 490 1
229 2 1
229 9 1
229 27 5
229 150 5
229 152 4
230 9 7
230 31 8
230 54 3
230 58 2
230 72 7
230 195 1
230 198 1
230 237 2
230 332 2
230 337 15
230 351 1
230 353 1
230 399 2
230 435 1
231 7 2
231 40 2
231 90 1
231 114 1
231 116 1
231 130 1
231 442 1
232 2 7
232 4 3
232 9 9
232 47 1
232 58 4
232 74 3
232 82 3
232 97 9
232 184 3
232 198 1
232 233 3
232 236 7
232 272 4
232 292 4
232 300 2
232 373 2
232 422 1
233 10 4
233 90 1
233 435 3
234 13 1
234 21 3
234 36 1
234 68 2
234 74 2
234 86 2
234 180 8
234 260 1
235 542 1
236 160 1
237 51 4
238 2 1
238 4 2
